Module_id,Module_name,Status,Block_completeness,Missing_or_alternative_KOs,Detected_KOs,Completed_blocks,Total_blocks,Completeness_percent,Sample,Input_alias,Dataset,Report_file,Detected_KO_count,Missing_or_alternative_KO_count,Module_url,Detected_KO_links
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",COMPLETE,5__5,"K01899,K18118,K00234,K00235,K00237,K18859,K18860,K00025,K00116","K00164,K00658,K00382,K00174,K00175,K00177,K00176,K01902,K01903,K01900,K00236,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01676,K01679,K01677,K01678,K00026,K00024",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,25,9,https://www.kegg.jp/entry/M00011,https://www.kegg.jp/entry/K00024; https://www.kegg.jp/entry/K00026; https://www.kegg.jp/entry/K00164; https://www.kegg.jp/entry/K00174; https://www.kegg.jp/entry/K00175; https://www.kegg.jp/entry/K00176; https://www.kegg.jp/entry/K00177; https://www.kegg.jp/entry/K00236; https://www.kegg.jp/entry/K00239; https://www.kegg.jp/entry/K00240; https://www.kegg.jp/entry/K00241; https://www.kegg.jp/entry/K00242; https://www.kegg.jp/entry/K00244; https://www.kegg.jp/entry/K00245; https://www.kegg.jp/entry/K00246; https://www.kegg.jp/entry/K00247; https://www.kegg.jp/entry/K00382; https://www.kegg.jp/entry/K00658; https://www.kegg.jp/entry/K01676; https://www.kegg.jp/entry/K01677; https://www.kegg.jp/entry/K01678; https://www.kegg.jp/entry/K01679; https://www.kegg.jp/entry/K01900; https://www.kegg.jp/entry/K01902; https://www.kegg.jp/entry/K01903
M00012,Glyoxylate cycle,COMPLETE,5__5,"K19282,K00025","K01647,K01681,K01682,K01637,K01638,K00026,K00024",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,2,https://www.kegg.jp/entry/M00012,https://www.kegg.jp/entry/K00024; https://www.kegg.jp/entry/K00026; https://www.kegg.jp/entry/K01637; https://www.kegg.jp/entry/K01638; https://www.kegg.jp/entry/K01647; https://www.kegg.jp/entry/K01681; https://www.kegg.jp/entry/K01682
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1 BLOCK MISSING,4__5,"K00232,K07514,K07515,K23146","K00248,K07511,K14729,K05605,K00140",4.0,5.0,80.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,4,https://www.kegg.jp/entry/M00013,https://www.kegg.jp/entry/K00140; https://www.kegg.jp/entry/K00248; https://www.kegg.jp/entry/K05605; https://www.kegg.jp/entry/K07511; https://www.kegg.jp/entry/K14729
M00014,Glucuronate pathway (uronate pathway),2 BLOCKS MISSING,6__8,"K12447,K00699,K01195,K14756,K00002,K05351","K00012,K16190,K13247,K03331,K00008,K00854",6.0,8.0,75.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,6,6,https://www.kegg.jp/entry/M00014,https://www.kegg.jp/entry/K00008; https://www.kegg.jp/entry/K00012; https://www.kegg.jp/entry/K00854; https://www.kegg.jp/entry/K03331; https://www.kegg.jp/entry/K13247; https://www.kegg.jp/entry/K16190
M00015,"Proline biosynthesis, glutamate => proline",COMPLETE,3__3,,"K00931,K12657,K00147,K00286",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,0,https://www.kegg.jp/entry/M00015,https://www.kegg.jp/entry/K00147; https://www.kegg.jp/entry/K00286; https://www.kegg.jp/entry/K00931; https://www.kegg.jp/entry/K12657
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",COMPLETE,9__9,"K12525,K12526,K12526","K00928,K12524,K00133,K01714,K00215,K00674,K00821,K14267,K01439,K01778,K01586",9.0,9.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,11,2,https://www.kegg.jp/entry/M00016,https://www.kegg.jp/entry/K00133; https://www.kegg.jp/entry/K00215; https://www.kegg.jp/entry/K00674; https://www.kegg.jp/entry/K00821; https://www.kegg.jp/entry/K00928; https://www.kegg.jp/entry/K01439; https://www.kegg.jp/entry/K01586; https://www.kegg.jp/entry/K01714; https://www.kegg.jp/entry/K01778; https://www.kegg.jp/entry/K12524; https://www.kegg.jp/entry/K14267
M00017,"Methionine biosynthesis, apartate => homoserine => methionine",COMPLETE,7__7,"K12525,K12525","K00928,K12524,K00133,K00003,K00651,K00641,K01739,K01760,K14155,K00548,K00549",7.0,7.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,11,1,https://www.kegg.jp/entry/M00017,https://www.kegg.jp/entry/K00003; https://www.kegg.jp/entry/K00133; https://www.kegg.jp/entry/K00548; https://www.kegg.jp/entry/K00549; https://www.kegg.jp/entry/K00641; https://www.kegg.jp/entry/K00651; https://www.kegg.jp/entry/K00928; https://www.kegg.jp/entry/K01739; https://www.kegg.jp/entry/K01760; https://www.kegg.jp/entry/K12524; https://www.kegg.jp/entry/K14155
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine",COMPLETE,5__5,"K12525,K12526,K12525,K02203","K00928,K12524,K00133,K00003,K00872,K02204,K01733",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,3,https://www.kegg.jp/entry/M00018,https://www.kegg.jp/entry/K00003; https://www.kegg.jp/entry/K00133; https://www.kegg.jp/entry/K00872; https://www.kegg.jp/entry/K00928; https://www.kegg.jp/entry/K01733; https://www.kegg.jp/entry/K02204; https://www.kegg.jp/entry/K12524
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",COMPLETE,4__4,K11258,"K01652,K01653,K00053,K01687,K00826",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,1,https://www.kegg.jp/entry/M00019,https://www.kegg.jp/entry/K00053; https://www.kegg.jp/entry/K00826; https://www.kegg.jp/entry/K01652; https://www.kegg.jp/entry/K01653; https://www.kegg.jp/entry/K01687
M00020,"Serine biosynthesis, glycerate-3P => serine",COMPLETE,3__3,"K02203,K22305","K00058,K00831,K01079",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,2,https://www.kegg.jp/entry/M00020,https://www.kegg.jp/entry/K00058; https://www.kegg.jp/entry/K00831; https://www.kegg.jp/entry/K01079
M00021,"Cysteine biosynthesis, serine => cysteine",COMPLETE,2__2,"K23304,K13034,K17069","K00640,K01738",2.0,2.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,2,3,https://www.kegg.jp/entry/M00021,https://www.kegg.jp/entry/K00640; https://www.kegg.jp/entry/K01738
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",COMPLETE,7__7,"K13829,K13830,K13832,K13830,K13832,K13830,K13829,K13830,K24018,K13830","K01626,K03856,K13853,K01735,K03785,K03786,K00014,K00891,K00800,K01736",7.0,7.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,10,4,https://www.kegg.jp/entry/M00022,https://www.kegg.jp/entry/K00014; https://www.kegg.jp/entry/K00800; https://www.kegg.jp/entry/K00891; https://www.kegg.jp/entry/K01626; https://www.kegg.jp/entry/K01735; https://www.kegg.jp/entry/K01736; https://www.kegg.jp/entry/K03785; https://www.kegg.jp/entry/K03786; https://www.kegg.jp/entry/K03856; https://www.kegg.jp/entry/K13853
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",COMPLETE,5__5,"K13503,K13501,K01656,K13497,K13497,K24017,K13498,K13501,K01656,K13498,K13501,K01694","K01657,K01658,K00766,K01817,K01609,K01695,K01696,K06001",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,8,7,https://www.kegg.jp/entry/M00023,https://www.kegg.jp/entry/K00766; https://www.kegg.jp/entry/K01609; https://www.kegg.jp/entry/K01657; https://www.kegg.jp/entry/K01658; https://www.kegg.jp/entry/K01695; https://www.kegg.jp/entry/K01696; https://www.kegg.jp/entry/K01817; https://www.kegg.jp/entry/K06001
M00024,"Phenylalanine biosynthesis, chorismate => phenylalanine",COMPLETE,3__3,"K01850,K04092,K14187,K04516,K06209,K01713,K00838","K04093,K06208,K13853,K14170,K04518,K05359,K00832",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,7,https://www.kegg.jp/entry/M00024,https://www.kegg.jp/entry/K00832; https://www.kegg.jp/entry/K04093; https://www.kegg.jp/entry/K04518; https://www.kegg.jp/entry/K05359; https://www.kegg.jp/entry/K06208; https://www.kegg.jp/entry/K13853; https://www.kegg.jp/entry/K14170
M00025,"Tyrosine biosynthesis, chorismate => tyrosine",COMPLETE,3__3,"K01850,K04092,K04516,K06209,K14187,K14187,K00815,K00838","K14170,K04093,K06208,K13853,K04517,K00832",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,6,7,https://www.kegg.jp/entry/M00025,https://www.kegg.jp/entry/K00832; https://www.kegg.jp/entry/K04093; https://www.kegg.jp/entry/K04517; https://www.kegg.jp/entry/K06208; https://www.kegg.jp/entry/K13853; https://www.kegg.jp/entry/K14170
M00026,"Histidine biosynthesis, PRPP => histidine",COMPLETE,9__9,"K14152,K14152,K24017,K01663,K04486,K14152,K14152,K14152,K24017,K01663,K01089,K14152","K00765,K02502,K01523,K11755,K01496,K01814,K02501,K02500,K01693,K00817,K05602,K18649,K00013",9.0,9.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,13,5,https://www.kegg.jp/entry/M00026,https://www.kegg.jp/entry/K00013; https://www.kegg.jp/entry/K00765; https://www.kegg.jp/entry/K00817; https://www.kegg.jp/entry/K01496; https://www.kegg.jp/entry/K01523; https://www.kegg.jp/entry/K01693; https://www.kegg.jp/entry/K01814; https://www.kegg.jp/entry/K02500; https://www.kegg.jp/entry/K02501; https://www.kegg.jp/entry/K02502; https://www.kegg.jp/entry/K05602; https://www.kegg.jp/entry/K11755; https://www.kegg.jp/entry/K18649
M00027,GABA (gamma-Aminobutyrate) shunt,COMPLETE,3__3,"K13524,K00139,K17761","K01580,K07250,K00823,K16871,K00135",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,3,https://www.kegg.jp/entry/M00027,https://www.kegg.jp/entry/K00135; https://www.kegg.jp/entry/K00823; https://www.kegg.jp/entry/K01580; https://www.kegg.jp/entry/K07250; https://www.kegg.jp/entry/K16871
M00028,"Ornithine biosynthesis, glutamate => ornithine",COMPLETE,5__5,"K00618,K14681,K22477,K22478,K22478,K12659,K12659,K00818,K14677","K00619,K14682,K00620,K00930,K00145,K00821,K01438",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,7,https://www.kegg.jp/entry/M00028,https://www.kegg.jp/entry/K00145; https://www.kegg.jp/entry/K00619; https://www.kegg.jp/entry/K00620; https://www.kegg.jp/entry/K00821; https://www.kegg.jp/entry/K00930; https://www.kegg.jp/entry/K01438; https://www.kegg.jp/entry/K14682
M00029,Urea cycle,1 BLOCK MISSING,4__5,"K01948,K14681","K00611,K01940,K01755,K01476",4.0,5.0,80.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,2,https://www.kegg.jp/entry/M00029,https://www.kegg.jp/entry/K00611; https://www.kegg.jp/entry/K01476; https://www.kegg.jp/entry/K01755; https://www.kegg.jp/entry/K01940
M00030,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",INCOMPLETE,3__8,"K17450,K05824,K00838,K00143,K00293","K01655,K01705,K00290",3.0,8.0,37.5,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,5,https://www.kegg.jp/entry/M00030,https://www.kegg.jp/entry/K00290; https://www.kegg.jp/entry/K01655; https://www.kegg.jp/entry/K01705
M00031,"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",2 BLOCKS MISSING,4__6,"K05826,K05831","K05827,K05828,K05829,K05830",4.0,6.0,66.66666666666667,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,2,https://www.kegg.jp/entry/M00031,https://www.kegg.jp/entry/K05827; https://www.kegg.jp/entry/K05828; https://www.kegg.jp/entry/K05829; https://www.kegg.jp/entry/K05830
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",INCOMPLETE,5__8,"K00293,K14085,K00825,K15791,K01825,K01782,K07514,K07515,K01825,K01782,K07514","K00290,K14157,K00658,K00382,K00252,K01692,K07511,K00022",5.0,8.0,62.5,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,8,8,https://www.kegg.jp/entry/M00032,https://www.kegg.jp/entry/K00022; https://www.kegg.jp/entry/K00252; https://www.kegg.jp/entry/K00290; https://www.kegg.jp/entry/K00382; https://www.kegg.jp/entry/K00658; https://www.kegg.jp/entry/K01692; https://www.kegg.jp/entry/K07511; https://www.kegg.jp/entry/K14157
M00033,"Ectoine biosynthesis, aspartate => ectoine",INCOMPLETE,2__5,"K00836,K06718,K06720","K00928,K00133",2.0,5.0,40.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,2,3,https://www.kegg.jp/entry/M00033,https://www.kegg.jp/entry/K00133; https://www.kegg.jp/entry/K00928
M00034,Methionine salvage pathway,1 BLOCK MISSING,10__11,"K01243,K18284,K01244,K00899,K16054,K16054,K08965,K16054,K08966,K08967,K00815,K08969,K00838","K00789,K01611,K00797,K00772,K08963,K08964,K09880,K00832",10.0,11.0,90.9090909090909,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,8,11,https://www.kegg.jp/entry/M00034,https://www.kegg.jp/entry/K00772; https://www.kegg.jp/entry/K00789; https://www.kegg.jp/entry/K00797; https://www.kegg.jp/entry/K00832; https://www.kegg.jp/entry/K01611; https://www.kegg.jp/entry/K08963; https://www.kegg.jp/entry/K08964; https://www.kegg.jp/entry/K09880
M00035,Methionine degradation,COMPLETE,4__4,"K17398,K17399,K10150","K00789,K00558,K01251,K01697",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,3,https://www.kegg.jp/entry/M00035,https://www.kegg.jp/entry/K00558; https://www.kegg.jp/entry/K00789; https://www.kegg.jp/entry/K01251; https://www.kegg.jp/entry/K01697
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",1 BLOCK MISSING,5__6,"K09699,K01968,K13766","K00826,K00166,K00167,K11381,K00382,K00253,K00249,K01969,K05607,K01640",5.0,6.0,83.33333333333333,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,10,3,https://www.kegg.jp/entry/M00036,https://www.kegg.jp/entry/K00166; https://www.kegg.jp/entry/K00167; https://www.kegg.jp/entry/K00249; https://www.kegg.jp/entry/K00253; https://www.kegg.jp/entry/K00382; https://www.kegg.jp/entry/K00826; https://www.kegg.jp/entry/K01640; https://www.kegg.jp/entry/K01969; https://www.kegg.jp/entry/K05607; https://www.kegg.jp/entry/K11381
M00037,"Melatonin biosynthesis, tryptophan => serotonin => melatonin",INCOMPLETE,1__4,"K00502,K00669,K00543",K01593,1.0,4.0,25.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00037,https://www.kegg.jp/entry/K01593
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",1 BLOCK MISSING,6__7,"K00463,K14263,K10217,K23234","K00453,K01432,K07130,K00486,K01556,K00452,K03392",6.0,7.0,85.71428571428571,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,4,https://www.kegg.jp/entry/M00038,https://www.kegg.jp/entry/K00452; https://www.kegg.jp/entry/K00453; https://www.kegg.jp/entry/K00486; https://www.kegg.jp/entry/K01432; https://www.kegg.jp/entry/K01556; https://www.kegg.jp/entry/K03392; https://www.kegg.jp/entry/K07130
M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",INCOMPLETE,1__10,"K10775,K13064,K00487,K01904,K13065,K09754,K00588,K09753,K09755,K00083,K22395",K13066,1.0,10.0,10.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,11,https://www.kegg.jp/entry/M00039,https://www.kegg.jp/entry/K13066
M00040,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",COMPLETE,3__3,"K01850,K04092,K15849,K00220,K15226","K14170,K00832,K15227",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,5,https://www.kegg.jp/entry/M00040,https://www.kegg.jp/entry/K00832; https://www.kegg.jp/entry/K14170; https://www.kegg.jp/entry/K15227
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",INCOMPLETE,1__4,"K00505,K00501,K01592,K00503,K00553",K01593,1.0,4.0,25.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,5,https://www.kegg.jp/entry/M00042,https://www.kegg.jp/entry/K01593
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",1 BLOCK MISSING,0__1,K00431,,0.0,1.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,1,https://www.kegg.jp/entry/M00043,
M00044,"Tyrosine degradation, tyrosine => homogentisate",1 BLOCK MISSING,4__5,"K00815,K00838,K03334,K16171","K00457,K00451,K01800,K01555",4.0,5.0,80.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,4,https://www.kegg.jp/entry/M00044,https://www.kegg.jp/entry/K00451; https://www.kegg.jp/entry/K00457; https://www.kegg.jp/entry/K01555; https://www.kegg.jp/entry/K01800
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",COMPLETE,5__5,"K01479,K13990,K05603,K01479,K13990,K01458","K01745,K01712,K01468,K00603",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,4,https://www.kegg.jp/entry/M00045,https://www.kegg.jp/entry/K00603; https://www.kegg.jp/entry/K01468; https://www.kegg.jp/entry/K01712; https://www.kegg.jp/entry/K01745
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",COMPLETE,3__3,"K17722,K17723,K06016","K00207,K01464,K01431",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,3,https://www.kegg.jp/entry/M00046,https://www.kegg.jp/entry/K00207; https://www.kegg.jp/entry/K01431; https://www.kegg.jp/entry/K01464
M00047,Creatine pathway,2 BLOCKS MISSING,1__3,"K00542,K00933",K00613,1.0,3.0,33.333333333333336,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,2,https://www.kegg.jp/entry/M00047,https://www.kegg.jp/entry/K00613
