Selection_order,Module_ID,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Table_S8_biomarker_categories,Table_S8_biomarker_details,Reason_for_inclusion,Module_KO_count,Module_KO_set,Module_catalog_source,Table_S8_source,Selection_script,Selection_rule
11,M00165,Reductive pentose phosphate cycle (Calvin cycle),Carbon,No direct iron relation assigned,K00855; K01601; K01602,Carbon Fixation: Calvin-Benson cycle,"K00855: Carbon Fixation: Calvin-Benson cycle — phosphoribulokinase [EC:2.7.1.19] (PRK, prkB) | K01601: Carbon Fixation: Calvin-Benson cycle — ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] (rbcL, cbbL) | K01602: Carbon Fixation: Calvin-Benson cycle — ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39] (rbcS, cbbS)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,17,"K00134,K00150,K00615,K00855,K00927,K01086,K01100,K01601,K01602,K01623,K01624,K01807,K01808,K02446,K03841,K05298,K11532",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
12,M00166,"Reductive pentose phosphate cycle, ribulose-5P -> glyceraldehyde-3P",Carbon,No direct iron relation assigned,K00855; K01601; K01602,Carbon Fixation: Calvin-Benson cycle,"K00855: Carbon Fixation: Calvin-Benson cycle — phosphoribulokinase [EC:2.7.1.19] (PRK, prkB) | K01601: Carbon Fixation: Calvin-Benson cycle — ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] (rbcL, cbbL) | K01602: Carbon Fixation: Calvin-Benson cycle — ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39] (rbcS, cbbS)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,7,"K00134,K00150,K00855,K00927,K01601,K01602,K05298",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
13,M00173,Reductive citrate cycle (Arnon-Buchanan cycle),Carbon,No direct iron relation assigned,K00169; K00170; K00171; K00172; K03737,Carbon Fixation: Arnon-Buchanan cycle; Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,"K00169: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] | K00170: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] | K00171: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] | K00172: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] (porC, porG) | K03737: Carbon Fixation: Arnon-Buchanan cycle — pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,43,"K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K15230,K15231,K15232,K15233,K15234,K18556,K18557,K18558,K18559,K18560",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
14,M00374,Dicarboxylate-hydroxybutyrate cycle,Carbon,No direct iron relation assigned,K00169; K00170; K00171; K00172; K14534; K15038,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle; Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle,"K00169: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] | K00170: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] | K00171: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] | K00172: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] (porC, porG) | K14534: Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle — 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] (abfD) | K15038: Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle — succinyl-CoA reductase [EC:1.2.1.76] (K15038)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,24,"K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01676,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15017,K15038,K18860,K18861",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
15,M00375,Hydroxypropionate-hydroxybutylate cycle,Carbon,No direct iron relation assigned,K01964; K14534; K15019; K15020; K15036; K15038; K15039,Carbon Fixation: 3-Hydroxypropionate bi-cycle; Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle; Carbon Fixation: Hydroxypropionate-hydroxybutylate cycle,K01964: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] (K01964) | K14534: Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle — 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] (abfD) | K15019: Carbon Fixation: Hydroxypropionate-hydroxybutylate cycle — 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116] (K15019) | K15020: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acryloyl-coenzyme A reductase [EC:1.3.1.84] (K15020) | K15036: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] (K15036) | K15038: Carbon Fixation: Dicarboxylate-hydroxybutyrate cycle; Hydroxypropionate-hydroxybutylate cycle — succinyl-CoA reductase [EC:1.2.1.76] (K15038) | K15039: Carbon Fixation: 3-Hydroxypropionate bi-cycle — 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298] (K15039),Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,18,"K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15017,K15018,K15019,K15020,K15036,K15037,K15038,K15039,K18861",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
16,M00376,3-Hydroxypropionate bi-cycle,Carbon,No direct iron relation assigned,K01961; K01962; K01963; K02160; K09709; K14468; K14469; K14470; K14471; K14472,Carbon Fixation: 3-Hydroxypropionate bi-cycle; Carbon Fixation: 3-Hydroxypropionate bi-cycle; Hydroxypropionate-hydroxybutylate cycle,"K01961: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] | K01962: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] | K01963: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] | K02160: Carbon Fixation: 3-Hydroxypropionate bi-cycle — acetyl-CoA carboxylase biotin carboxyl carrier protein | K09709: Carbon Fixation: 3-Hydroxypropionate bi-cycle — 3-methylfumaryl-CoA hydratase [EC:4.2.1.153] (meh) | K14468: Carbon Fixation: 3-Hydroxypropionate bi-cycle — malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298] (mcr) | K14469: Carbon Fixation: 3-Hydroxypropionate bi-cycle; Hydroxypropionate-hydroxybutylate cycle — acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36] (K14469) | K14470: Carbon Fixation: 3-Hydroxypropionate bi-cycle — 2-methylfumaryl-CoA isomerase [EC:5.4.1.3] (mct) | K14471: Carbon Fixation: 3-Hydroxypropionate bi-cycle — succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22] (smtA1) | K14472: Carbon Fixation: 3-Hydroxypropionate bi-cycle — succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22] (smtB)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,21,"K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K08691,K09709,K14449,K14468,K14469,K14470,K14471,K14472,K15052",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
17,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Carbon,No direct iron relation assigned,K00198; K05299; K14138; K15022,Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),"K00198: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] (cooS, acsA) | K05299: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] | K14138: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — acetyl-CoA synthase [EC:2.3.1.169] (acsB) | K15022: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,10,"K00194,K00197,K00198,K00297,K01491,K01938,K05299,K14138,K15022,K15023",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
18,M00422,"Acetyl-CoA pathway, CO2 -> acetyl-CoA",Carbon,No direct iron relation assigned,K00192; K00193; K00195,Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),"K00192: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] (cdhA) | K00193: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] (cdhC) | K00195: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon (cdhB)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,5,"K00192,K00193,K00194,K00195,K00197",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
19,M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA -> acetate",Carbon,No direct iron relation assigned,K00625; K00925; K13788; K15024,Carbon Fixation: Acetate production; Methanogenesis (acetato); Acetate production,"K00625: Carbon Fixation: Acetate production — phosphate acetyltransferase [EC:2.3.1.8] (E2.3.1.8, pta) | K00925: Methanogenesis (acetato); Acetate production — acetate kinase [EC:2.7.2.1] (ackA) | K13788: Carbon Fixation: Acetate production — phosphate acetyltransferase [EC:2.3.1.8] (pta) | K15024: Carbon Fixation: Acetate production — putative phosphotransacetylase [EC:2.3.1.8] (K15024)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,4,"K00625,K00925,K13788,K15024",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
20,M00618,Acetogen,Carbon,No direct iron relation assigned,K00198; K00625; K00925; K05299; K13788; K14138; K15022; K15024,Carbon Fixation: Acetate production; Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway); Methanogenesis (acetato); Acetate production,"K00198: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] (cooS, acsA) | K00625: Carbon Fixation: Acetate production — phosphate acetyltransferase [EC:2.3.1.8] (E2.3.1.8, pta) | K00925: Methanogenesis (acetato); Acetate production — acetate kinase [EC:2.7.2.1] (ackA) | K05299: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] | K13788: Carbon Fixation: Acetate production — phosphate acetyltransferase [EC:2.3.1.8] (pta) | K14138: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — acetyl-CoA synthase [EC:2.3.1.169] (acsB) | K15022: Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) — formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10] | K15024: Carbon Fixation: Acetate production — putative phosphotransacetylase [EC:2.3.1.8] (K15024)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,14,"K00194,K00197,K00198,K00297,K00625,K00925,K01491,K01938,K05299,K13788,K14138,K15022,K15023,K15024",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
21,M00620,"Incomplete reductive citrate cycle, acetyl-CoA -> oxoglutarate",Carbon,No direct iron relation assigned,K00169; K00170; K00171; K00172,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,"K00169: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] | K00170: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] | K00171: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] | K00172: Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle — pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] (porC, porG)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,17,"K00024,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,K18209,K18210",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
22,M00174,"Methane oxidation, methanotroph, methane -> formaldehyde",Methane,No direct iron relation assigned,K10944; K10945; K10946; K14028; K14029; K16157,Methane oxidation: Methanotrophs; Methanol oxidation: Methylotrophs; Nitrification; Methane oxidation; Methanotrophs,"K10944: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39] | K10945: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit B (pmoB-amoB) | K10946: Nitrification; Methane oxidation; Methanotrophs — methane/ammonia monooxygenase subunit C (pmoC-amoC) | K14028: Methanol oxidation: Methylotrophs — methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7] (mdh1, mxaF) | K14029: Methanol oxidation: Methylotrophs — methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7] (mdh2, mxaI) | K16157: Methane oxidation: Methanotrophs — methane monooxygenase component A alpha chain [EC:1.14.13.25] (mmoX)",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,11,"K10944,K10945,K10946,K14028,K14029,K16157,K16158,K16159,K16160,K16161,K16162",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
23,M00356,"Methanogenesis, methanol -> methane",Methane,Direct Table S8 iron-biomarker intersection,K00125; K00399; K00401; K00402; K03388; K03389; K08264; K08265; K14126; K14127; K14128; K22480; K22481; K22482; K22516,Methanogenesis (CO2); Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),"K00125: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB) | K00399: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1] (mcrA) | K00401: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — methyl-coenzyme M reductase beta subunit [EC:2.8.4.1] (mcrB) | K00402: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1] | K03388: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] (hdrA2) | K03389: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] (hdrB2) | K08264: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit D [EC:1.8.98.1] (hdrD) | K08265: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit E [EC:1.8.98.1] (hdrE) | K14126: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5] (mvhA, vhuA, vhcA) | K14127: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6] (mvhD, vhuD, vhcD) | K14128: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5] (mvhG, vhuG, vhcG) | K22480: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit A1 [EC:1.8.7.3] | K22481: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit B1 [EC:1.8.7.3] | K22482: Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2) — heterodisulfide reductase subunit C1 [EC:1.8.7.3] | K22516: Methanogenesis (CO2) — formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]",Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,19,"K00125,K00399,K00401,K00402,K03388,K03389,K03390,K04480,K08264,K08265,K14080,K14081,K14126,K14127,K14128,K22480,K22481,K22482,K22516",data/final_kegg_st8_update/KEMET_module_KO_sets_extracted_from_lagoon_reportKMC.csv,tables/Supplementary_Table_8.xlsx,scripts/generate_s38_s41_module_figures.py,Thematic catalogue (Table S8 biomarker intersection and/or requested cycle) followed by at least one Complete status in each displayed matrix; all original cell states are preserved.
